Record ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
6.34212E+17,-1,-1,-1,0,0,0,-1,-1,-2,-1,0,0,-1,-1,-1,2,-1,-1,-2,-1,-1,-1,1,2,0,-2,-1,-1,-2,-1
6.34212E+17,1,0,0,0,1,-1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,,0,0
6.34213E+17,1,2,2,0,-1,1,2,1,2,0,1,1,1,1,2,2,2,2,1,2,1,1,1,2,0,1,-1,1,2,2
6.34214E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34214E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34214E+17,1,1,0,-1,-1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,-1,0,0,0,-1,1,1,0,2,-1,1,1
6.34215E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
6.34217E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34218E+17,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2
6.34219E+17,1,1,1,1,-1,1,1,1,1,,,,,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,
6.34219E+17,0,1,0,-1,-1,-2,-2,-1,-2,0,-1,-1,1,-1,2,1,0,0,1,1,1,1,0,1,0,-2,-1,1,-1,0
6.34219E+17,-1,-2,,-2,1,-2,-2,-2,-2,-1,1,-1,-2,-1,2,-2,-2,2,2,-2,-2,-2,-2,2,-2,-1,1,-2,2,-1
6.34219E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34219E+17,1,2,2,2,2,2,2,2,2,2,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34219E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34219E+17,1,2,1,1,-1,-1,1,1,1,1,,,,1,1,2,2,2,1,,2,,2,2,2,1,1,1,1,1
6.3422E+17,1,2,2,2,2,1,1,2,1,,,,,1,1,1,2,2,1,,,,1,1,1,1,0,1,1,1
6.3422E+17,0,0,0,0,1,-1,-1,-1,0,-2,-2,-2,-2,-1,2,2,-2,0,0,0,0,0,0,1,1,-2,0,1,0,-2
6.34221E+17,2,1,0,0,0,2,2,2,2,1,2,2,2,2,0,0,0,1,2,-1,-1,0,0,0,2,2,2,0,1,-2
6.34224E+17,2,2,2,2,2,2,1,1,1,1,-1,-1,-1,1,1,1,0,1,1,1,1,1,1,1,2,1,2,-1,1,1
6.34224E+17,1,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1
6.34225E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34226E+17,1,0,1,0,1,0,1,1,1,2,0,-1,0,1,0,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1
6.34227E+17,,,,,,,,,,,,,,-2,2,0,0,2,2,-1,-1,-1,0,2,1,-2,-2,0,2,-2
6.34227E+17,-1,1,0,-2,-1,-1,-1,-1,0,-2,-1,-1,-1,1,1,2,0,1,1,-1,-1,-1,1,0,0,1,0,0,1,1
6.34227E+17,1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,-1,1,1,2,2,2,0,1,1,1,1,-1,-1,-1,1,1,1,0
6.34227E+17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.34231E+17,1,1,-1,-1,-1,1,0,0,-1,-1,-2,-2,-2,-1,1,0,1,0,1,-2,-2,-2,-2,1,0,0,-2,-2,-2,-2
6.34232E+17,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,2,2,2,1,0,0,0,0,1,1,1,0,1,0
6.34236E+17,1,1,1,0,-1,-1,1,2,1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,2,2,-1,-2,2,1,1,1,1
6.34238E+17,1,1,-2,-2,1,-2,-1,-1,-2,-2,-1,-1,-1,-2,1,1,1,1,1,-1,-1,-1,1,1,-2,-1,1,-2,-1,-2
6.34239E+17,1,-1,-1,0,1,1,2,2,1,1,1,1,1,1,2,-1,-1,-2,0,-1,-1,-1,-1,1,1,2,0,0,0,1
6.34242E+17,0,0,-2,-2,-2,-1,0,0,0,0,-1,-1,1,-1,1,-1,-1,0,0,-2,-1,-2,-2,1,0,-1,-1,1,1,1
6.34244E+17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.34244E+17,1,1,-1,1,1,0,1,1,1,0,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,0,1,1,1,1,1
6.34245E+17,1,2,2,2,0,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6.3425E+17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
6.3425E+17,,1,1,0,0,-1,0,0,2,0,1,1,1,2,2,1,0,1,2,1,1,1,1,0,0,1,1,1,1,1
6.34251E+17,0,-1,-1,-2,-1,-1,-1,1,1,0,-1,-1,-2,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,-2,0,-1,0,-1
6.34251E+17,0,-2,-1,-2,1,-2,-2,-1,-2,-2,-2,-2,-2,-2,1,2,1,2,-2,-2,-2,-2,2,-2,-2,-2,2,1,-2,-2
6.34257E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3426E+17,1,1,0,1,1,2,2,2,1,0,1,0,0,2,2,1,1,1,2,1,1,1,0,1,1,2,2,-1,2,2
6.34261E+17,1,-1,0,-2,-1,0,1,1,1,0,0,0,0,2,2,-1,1,0,1,-2,-1,-1,0,1,1,2,2,-1,2,2
6.34263E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34266E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34267E+17,0,1,0,-1,-1,1,0,0,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,2,1,0,1,1
6.34268E+17,0,-1,1,2,0,1,1,1,-1,0,1,1,1,0,1,1,2,1,2,2,2,2,1,0,0,1,0,1,1,0
6.34268E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34268E+17,2,-1,,0,1,0,2,2,2,0,1,1,1,1,0,2,2,1,0,1,1,1,1,1,1,1,1,1,1,-1
6.34268E+17,2,-1,-1,-1,0,-1,-1,0,-1,-2,-2,-2,-2,2,2,-1,0,-1,1,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2
6.34269E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34269E+17,0,-1,-2,-2,1,0,1,2,-1,1,0,0,2,-1,2,-2,-1,-2,1,-2,-2,1,-2,1,2,-1,2,0,1,1
6.34273E+17,1,1,,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1
6.34274E+17,-2,1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,2,1,1,1,2,0,0,0,0,-1,-1,-1,-1,1,1,-2
6.34275E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34275E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34275E+17,-1,-1,-1,-1,-2,-2,-1,1,-2,-2,-2,-2,2,-1,-1,2,2,2,-2,1,2,1,2,1,1,0,0,2,-2,-2
6.34281E+17,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,-1,0
6.34281E+17,2,-1,-1,1,0,1,1,1,1,0,0,0,0,1,1,-1,0,1,1,-1,-1,-1,-1,1,1,0,1,0,0,0
6.34281E+17,1,1,1,1,1,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1
6.34285E+17,1,0,0,1,1,1,1,-1,1,-2,0,0,0,1,1,1,1,1,1,0,-1,-1,1,0,-1,0,1,1,1,-1
6.34286E+17,0,1,1,-1,-1,-2,1,0,1,-1,-1,-1,-1,0,-2,-2,-2,0,-1,-2,-2,-2,-2,1,1,-1,1,-2,-1,-2
6.34286E+17,1,0,1,1,1,1,1,1,-2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2
6.34286E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34287E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34287E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34298E+17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
